id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98887924384334,23.764314563525055,Entire home/apt,101,1,15,2017-10-29,0.17,8,356
10988,"75m2, 2-br, metro, wi-fi, cable TV",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.988434261427905,23.763446602200577,Entire home/apt,83,1,31,2017-11-23,0.44,8,0
10990,"50m2, Metro, WI-FI, cableTV, more",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98783415721626,23.76478728692748,Entire home/apt,68,1,24,2017-11-29,0.33,8,358
10993,"Studio, metro, cable tv, wi-fi, etc",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98860728307634,23.76422238412952,Entire home/apt,65,1,39,2018-03-31,0.54,8,343
10995,"47m2, close to metro,cable TV,wi-fi",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.989497855276916,23.76356202742272,Entire home/apt,68,2,15,2016-08-06,0.15,8,343
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98892799472425,23.76474873561398,Entire home/apt,68,1,16,2017-05-15,0.22,8,363
28186,Deluxe central loft near Acropolis,121318,Francis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97680384053444,23.729238030579143,Entire home/apt,59,4,383,2018-07-28,5.04,2,30
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97961871161071,23.715894480059603,Private room,39,1,0,,,1,365
33704,"Artist's studio in Athens, safe area, near metro",145728,Nicole,,ΑΜΠΕΛΟΚΗΠΟΙ,37.990522312584446,23.765927564703002,Entire home/apt,27,2,26,2018-07-28,2.15,1,86
33945,Spacious Cosy aprtm very close to Metro!,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00852681846307,23.729381688836483,Entire home/apt,20,2,69,2018-05-22,0.73,2,357
34169,A Tastylicious Rental Apartment!,147298,Lina,,ΠΑΤΗΣΙΑ,38.009861964757754,23.737492867980347,Entire home/apt,55,2,2,2015-06-13,0.05,1,365
38100,Stay at the heart of Athens (100m²),163481,Alexandros,,ΠΑΓΚΡΑΤΙ,37.97075337003545,23.742590255610306,Entire home/apt,48,3,170,2018-07-28,1.74,2,311
40149,Great View - Heart of Athens  wifi,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97968858075259,23.72899535580906,Entire home/apt,43,3,250,2018-08-07,2.80,5,319
40150,Syntagma Heart of Athens free wifi,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97968286308127,23.73037091066575,Entire home/apt,37,3,112,2018-08-06,1.18,5,326
44858,Comortable room near Areos Park & Athens centre,197677,Haris,,ΚΥΨΕΛΗ,37.996736766076985,23.738377423825305,Private room,23,2,169,2018-07-23,1.79,1,362
48635,Athensstay!Welcome home!metroAttiki,221434,Aikaterini,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00087221913157,23.72185951078659,Entire home/apt,21,1,142,2018-07-26,1.83,4,362
49219,sunny appartment neos kosmos athens,224378,Markos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95920035539923,23.725357320271733,Entire home/apt,28,3,2,2015-09-14,0.02,1,0
